CCF简称,全称,出版社,网址,领域,评级,DBLP简称
COMPSAC,International Computer Software and Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/compsac/,软件工程/系统软件/程序设计语言,C,compsac
ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,IEEE,http://dblp.uni-trier.de/db/conf/iceccs/,软件工程/系统软件/程序设计语言,C,iceccs
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,IEEE,http://dblp.uni-trier.de/db/conf/scam/,软件工程/系统软件/程序设计语言,C,scam
ICFEM,International Conference on Formal Engineering Methods,Springer,http://dblp.uni-trier.de/db/conf/icfem/,软件工程/系统软件/程序设计语言,C,icfem
TOOLS,"International Conference on Objects, Models, Components, Patterns",Springer,http://dblp.uni-trier.de/db/conf/tools/index.html,软件工程/系统软件/程序设计语言,C,tools
PEPM,ACM SIGPLAN Symposium on Partial Evaluation and Semantics Based Programming Manipulation,ACM,http://dblp.uni-trier.de/db/conf/pepm/,软件工程/系统软件/程序设计语言,C,pepm
SEKE,International Conference on Software Engineering and Knowledge Engineering,KSI,http://dblp.uni-trier.de/db/conf/seke/,软件工程/系统软件/程序设计语言,C,seke
ICSR,International Conference on Software Reuse,Springer,http://dblp.uni-trier.de/db/conf/icsr/,软件工程/系统软件/程序设计语言,C,icsr
ICWE,International Conference on Web Engineering,Springer,http://dblp.uni-trier.de/db/conf/icwe/,软件工程/系统软件/程序设计语言,C,icwe
SPIN,International SPIN Workshop on Model Checking of Software,Springer,http://dblp.uni-trier.de/db/conf/spin/index.html,软件工程/系统软件/程序设计语言,C,spin
LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,Springer,http://dblp.uni-trier.de/db/conf/lopstr/,软件工程/系统软件/程序设计语言,C,lopstr
TASE,International Symposium on Theoretical Aspects of Software Engineering,IEEE,http://dblp.uni-trier.de/db/conf/tase/,软件工程/系统软件/程序设计语言,C,tase
ICST,"The IEEE International Conference on Software Testing, Verification and Validation",IEEE,http://dblp.uni-trier.de/db/conf/icst/,软件工程/系统软件/程序设计语言,C,icst
ATVA,International Symposium on Automated Technology for Verification and Analysis,Springer,http://dblp.uni-trier.de/db/conf/atva/,软件工程/系统软件/程序设计语言,C,atva
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,IEEE,http://dblp.uni-trier.de/db/conf/ispass/,软件工程/系统软件/程序设计语言,C,ispass
SCC,International Conference on Service Computing,IEEE,http://dblp.uni-trier.de/db/conf/IEEEscc/,软件工程/系统软件/程序设计语言,C,IEEEscc
ICSSP,International Conference on Software and System Process,ISPA,http://dblp.uni-trier.de/db/conf/ispw/,软件工程/系统软件/程序设计语言,C,ispw
MSR,Working Conference on Mining Software Repositories,IEEE/ACM,http://dblp.uni-trier.de/db/conf/msr/,软件工程/系统软件/程序设计语言,C,msr
REFSQ,Requirements Engineering: Foundation for Software Quality,Springer,http://dblp.uni-trier.de/db/conf/refsq/,软件工程/系统软件/程序设计语言,C,refsq
WICSA,Working IEEE/IFIP Conference on Software Architecture,IEEE,http://dblp.uni-trier.de/db/conf/wicsa/,软件工程/系统软件/程序设计语言,C,wicsa
EASE,Evaluation and Assessment in Software Engineering,ACM,http://dblp.uni-trier.de/db/conf/ease/,软件工程/系统软件/程序设计语言,C,ease
TODS,ACM Transactions on Database Systems,ACM,http://dblp.uni-trier.de/db/journals/tods/,数据库/内容检索/数据挖掘,A,tods
TOIS,ACM Transactions on Information Systems,ACM,http://dblp.uni-trier.de/db/journals/tois/,数据库/内容检索/数据挖掘,A,tois
TKDE,IEEE Transactions on Knowledge and Data Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tkde/,数据库/内容检索/数据挖掘,A,tkde
VLDBJ,VLDB Journal,Springer,http://dblp.uni-trier.de/db/journals/vldb/,数据库/内容检索/数据挖掘,A,vldb
TKDD,ACM Transactions on Knowledge Discovery from Data,ACM,http://dblp.uni-trier.de/db/journals/tkdd/,数据库/内容检索/数据挖掘,B,tkdd
AEI,Advanced Engineering Informatics,Elsevier,http://dblp.uni-trier.de/db/journals/aei/,数据库/内容检索/数据挖掘,B,aei
DKE,Data and Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/,数据库/内容检索/数据挖掘,B,dke
DMKD,Data Mining and Knowledge Discovery,Springer,http://dblp.uni-trier.de/db/journals/datamine/,数据库/内容检索/数据挖掘,B,datamine
EJIS,European Journal of Information Systems,The OR Society,http://dblp.uni-trier.de/db/journals/ejis/,数据库/内容检索/数据挖掘,B,ejis
,GeoInformatica,Springer,http://dblp.uni-trier.de/db/journals/geoinformatica/,数据库/内容检索/数据挖掘,B,geoinformatica
IPM,Information Processing and Management,Elsevier,http://dblp.uni-trier.de/db/journals/ipm/,数据库/内容检索/数据挖掘,B,ipm
,Information Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/isci/,数据库/内容检索/数据挖掘,B,isci
IS,Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/is/,数据库/内容检索/数据挖掘,B,is
JASIST,Journal of the American Society for Information Science and Technology,American Society for Information Science and Technology,http://dblp.uni-trier.de/db/journals/jasis/,数据库/内容检索/数据挖掘,B,jasis
JWS,Journal of Web Semantics,Elsevier,http://dblp.uni-trier.de/db/journals/ws/,数据库/内容检索/数据挖掘,B,ws
KIS,Knowledge and Information Systems,Springer,http://dblp.uni-trier.de/db/journals/kais/,数据库/内容检索/数据挖掘,B,kais
TWEB,ACM Transactions on the Web,ACM,http://dblp.uni-trier.de/db/journals/tweb/,数据库/内容检索/数据挖掘,B,tweb
DPD,Distributed and Parallel Databases,Springer,http://dblp.uni-trier.de/db/journals/dpd/,数据库/内容检索/数据挖掘,C,dpd
I&M,Information and Management,Elsevier,http://dblp.uni-trier.de/db/journals/iam/,数据库/内容检索/数据挖掘,C,iam
IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/,数据库/内容检索/数据挖掘,C,ipl
IR,Information Retrieval,Springer,http://dblp.uni-trier.de/db/journals/ir/,数据库/内容检索/数据挖掘,C,ir
